id,cuisine,ingredients
2472,American,olive_oil pepper lemon fish fig
2473,Italian,olive_oil wheat ham thyme mozzarella_cheese garlic goat_cheese
2474,Mexican,tomato coriander pepper cayenne lime_juice scallion garlic vegetable_oil lime
2475,Italian,honey cheese grape_juice black_pepper
2476,Asian,coriander lemongrass sesame_oil beef root fish cucumber vegetable_oil basil garlic rice mint soy_sauce lime
2477,Italian,tomato cheese olive_oil parmesan_cheese garlic basil bread
2478,Italian,olive_oil lemon_juice parsley walnut bean garlic bread
2479,American,butter olive_oil green_bell_pepper onion thyme chicken_broth parsley celery garlic white_bread
2480,American,cane_molasses olive_oil pork cream apple onion cider chicken_broth black_pepper sage raisin ginger mustard apple_brandy cinnamon
2481,Southern_SoulFood,butter cane_molasses wheat bourbon_whiskey corn yeast milk pecan orange_peel egg vanilla cream
2482,MiddleEastern,tomato olive_oil lemon_juice onion parsley basil
2483,Italian,cheese wheat cardamom vanilla pear ginger white_wine cocoa buttermilk pear_brandy cinnamon egg milk cream
2484,American,butter cane_molasses wheat bourbon_whiskey vanilla milk_fat blackberry vegetable_oil egg milk cream
2485,Southwestern,olive_oil cilantro onion potato corn_grit cayenne lime_juice cumin seed garlic oregano
2486,German,butter dill wheat milk_fat chive vegetable_oil egg milk
2487,American,olive_oil cilantro onion potato black_pepper chicken_broth cayenne corn lime_juice
2488,African,butter cilantro lemon_juice cumin garlic bell_pepper smoke lobster
2489,American,butter tarragon potato milk_fat lobster milk
2490,Asian,pork wheat peanut soy_sauce ginger scallion egg
2491,Asian,coriander coconut chicken_broth shallot fish black_pepper cilantro ginger cumin lime turmeric garlic galanga shrimp vegetable_oil rice soy_sauce thai_pepper lemongrass
2492,Jewish,egg black_pepper chicken_liver onion
2493,Greek,dill lemon_juice olive_oil cucumber yogurt garlic cream bread
2494,Japanese,vinegar soy_sauce ginger white_wine honey garlic sherry chicken
2495,American,butter marjoram apple thyme rosemary chicken_broth sage onion parsley celery nutmeg white_bread egg ham
2496,American,cucumber lime_juice
2497,Thai,coconut onion chicken_broth cayenne cilantro ginger shrimp bean garlic galanga olive chicken rice
2498,Italian,olive_oil grape_juice black_pepper garlic bell_pepper oregano
2499,Chinese,rice walnut
2500,Asian,cilantro soy_sauce ginger scallion scallop cucumber bell_pepper vegetable_oil cabbage pea
2501,American,champagne_wine black_currant milk peach cream
2502,Indian,vinegar pork cumin garlic oregano lime
2503,French,butter cane_molasses wheat cinnamon egg milk
2504,American,olive_oil potato corn vinegar bacon scallion bell_pepper oregano blue_cheese sherry
2505,French,goat_cheese tomato olive rosemary oregano
2506,American,butter potato sage milk_fat vegetable_oil milk
2507,American,butter cane_molasses lemon_juice wheat yeast pear vanilla raisin bartlett_pear egg milk cream
2508,Italian,butter olive_oil cheese sage turkey macaroni bell_pepper garlic egg
2509,Central_SouthAmerican,tomato olive_oil coconut green_bell_pepper onion cilantro shrimp garlic pepper cassava
2510,French,tomato pork mutton armagnac onion thyme bacon black_pepper parsley bay bean garlic smoke lard beef_broth white_wine meat pork_sausage bread
2511,Irish,butter vinegar zucchini mushroom shallot fish white_wine tomato vegetable_oil cream bell_pepper
2512,MiddleEastern,butter cane_molasses wheat vanilla walnut cocoa
2513,Greek,lamb olive_oil green_bell_pepper onion potato red_wine cayenne currant tomato yogurt nutmeg egg
2514,Italian,tomato olive_oil cheese parmesan_cheese walnut macaroni bell_pepper garlic
2515,American,date bacon parmesan_cheese
2516,Mexican,tomato cheese corn cayenne scallion garlic
2517,English_Scottish,butter wheat vanilla currant cinnamon pecan egg cream
2518,Jewish,butter lemon_juice wheat yeast vanilla milk_fat cinnamon egg milk
2519,Italian,butter olive_oil lemon feta_cheese cayenne scallion macaroni garlic
2520,MiddleEastern,olive_oil mint garlic
2521,American,butter olive_oil cayenne garlic oregano chicken
2522,Italian,butter cane_molasses citrus vanilla pear white_wine brandy cinnamon egg cream
2523,Indian,cane_molasses vinegar onion raisin cayenne cumin mango vegetable whole_grain_wheat_flour cider bread
2524,Asian,vegetable_oil wheat sesame_oil scallion
2525,American,tomato olive_oil pork grape_juice onion
2526,American,butter wheat apple vanilla walnut cinnamon egg
2527,Asian,butter wheat starch black_bean chicken_broth ginger asparagus garlic lard orange vegetable_oil egg soy_sauce
2528,American,butter wheat peach plum almond vanilla milk cream
2529,American,tomato cilantro onion lime
2530,American,cane_molasses olive_oil orange_juice wheat meat shallot chicken_broth red_wine white_wine marjoram garlic beef_broth bay
2531,American,butter lemon_juice wheat starch lemon_peel vanilla milk_fat cream_cheese egg milk mint strawberry
2532,American,butter wheat cocoa egg milk cream
2533,Mexican,butter cheese cayenne milk cream
2534,American,butter vegetable wheat lard
2535,American,butter wheat vanilla almond milk_fat milk
2536,Japanese,barley rice seaweed soybean scallion
2537,Mexican,tomato cilantro lime_juice corn avocado scallion lettuce seed garlic catfish feta_cheese cayenne
2538,American,shallot black_pepper fennel carrot garlic bell_pepper vegetable chicken porcini rosemary cream
2539,Italian,olive_oil onion fish black_pepper parsley bell_pepper olive zucchini
2540,Asian,vegetable_oil ginger
2541,American,butter wheat ginger cinnamon cream egg pumpkin
2542,American,olive_oil garlic potato
2543,American,butter clam onion bacon corn cayenne celery carrot lobster chive chicken_broth cream
2544,MiddleEastern,olive_oil pepper onion cayenne chicken_broth raisin bay garlic bell_pepper olive chicken rice
2545,French,butter thyme chicken_broth parsnip celery turnip garlic leek cream
2546,Italian,butter tomato ham mushroom asparagus parmesan_cheese macaroni chive pea cream
2547,Mediterranean,olive_oil onion potato vinegar parsley white_wine tuna egg
2548,Southern_SoulFood,butter olive_oil apple thyme shallot corn black_pepper celery carrot pecan vegetable_oil bread chicken_broth meat
2549,American,coffee cardamom corn milk_fat bean orange egg milk
2550,American,butter cane_molasses wheat nut cocoa cognac egg vanilla cream
2551,Jewish,black_pepper olive_oil wheat egg scallion
2552,MiddleEastern,olive_oil cilantro lemon beef black_pepper cumin cinnamon chicken turmeric
2553,Asian,lamb soy_sauce scallion lard
2554,Vietnamese,onion lime_juice fish squid tabasco_pepper garlic basil tamarind mint cayenne
2555,Cajun_Creole,tomato olive_oil green_bell_pepper wheat beef onion yeast corn cayenne thyme shrimp celery garlic smoke mozzarella_cheese vegetable_oil
2556,Indian,cilantro onion lime_juice cayenne cumin ginger shrimp garlic mango cucumber vegetable_oil nutmeg turmeric mint seed lime
2557,French,tomato olive_oil onion fish orange_juice parsley saffron fennel garlic orange
2558,French,butter parsley scallop garlic chive leek
2559,American,butter cane_molasses lemon_juice wheat cheese vanilla ginger buttermilk nutmeg cinnamon lard vegetable pumpkin egg cream
2560,Greek,butter dill wheat meat lamb nutmeg macaroni egg milk
2561,Jewish,lamb tomato pepper beef onion sunflower_oil garlic cinnamon
2562,German,tomato vinegar caraway wheat sauerkraut onion corn black_pepper bay fennel seed garlic butter smoke apple rye_flour beef_broth bread meat celery_oil
2563,American,butter lemon_juice wheat onion yeast cayenne celery crab sherry
2564,Italian,peach cherry vanilla gelatin yogurt cream
2565,Spanish_Portuguese,butter wheat milk_fat vanilla gelatin egg milk cream
2566,French,butter cheese cucumber mustard onion black_pepper parsley nutmeg chive vegetable_oil egg cream
2567,Italian,olive_oil cilantro kale onion
2568,Mediterranean,tomato olive_oil thyme onion vinegar mint red_wine cayenne lobster macaroni oregano basil garlic rosemary cream
2569,French,cayenne cumin seed cinnamon egg cream
2570,Italian,tomato olive_oil wheat corn squash basil smoke mozzarella_cheese
2571,Italian,butter olive_oil lemon_juice beef onion egg black_pepper bean mint cream
2572,Asian,shallot fish lime_juice garlic cabbage lemongrass
2573,Asian,coriander vinegar cilantro lime_juice fish cayenne ginger scallion black_pepper vegetable_oil soy_sauce wine
2574,American,butter olive_oil nut squash parsnip shrimp celery turnip chive truffle
2575,Mexican,strawberry cream cayenne milk cinnamon
2576,American,olive_oil mustard vinegar shallot potato scallion blue_cheese sherry watercress
2577,African,tomato olive_oil cilantro lemon_juice lemon onion chicken_broth parsley ginger cumin honey bell_pepper cinnamon
2578,American,starch vanilla cocoa milk_fat egg milk cream
2579,African,butter olive_oil cilantro lemon thyme saffron shallot apricot nut cayenne ginger garlic cinnamon orange chicken turmeric bell_pepper
2580,Mexican,olive_oil cilantro lime_juice scallion mango bell_pepper
2581,Asian,rice
2582,American,tomato olive_oil lemon_juice tarragon onion potato bean carrot garlic bell_pepper basil chicken egg mustard
2583,Asian,butter lemon_juice wheat beef black_bean black_pepper white_wine shallot cream
2584,Italian,butter orange_peel wheat lemon_peel almond raisin walnut milk_fat cinnamon vegetable_oil anise_seed milk egg
2585,American,olive_oil pork wheat vinegar chicken_broth white_wine garlic raspberry rosemary cream
2586,Central_SouthAmerican,tomato olive_oil chayote onion orange_juice cayenne squash cumin zucchini
2587,American,butter wheat corn maple_syrup buttermilk egg
2588,American,vinegar cilantro onion olive_oil red_wine cumin walnut lettuce kidney_bean
2589,American,lemon
2590,American,butter lemon_juice wheat rhubarb lemon_peel hazelnut egg cream
2591,Vietnamese,vinegar beef soy_sauce cayenne white_wine bean macaroni bell_pepper garlic mint fish
2592,American,orange_peel butter lime_peel_oil corn vegetable_oil lemon_peel
2593,Italian,butter tomato onion starch parsley basil macaroni bell_pepper olive egg
2594,Asian,sherry pork soy_sauce ginger
2595,Southern_SoulFood,butter cane_molasses wheat bourbon_whiskey vanilla whiskey nutmeg cinnamon pecan cream egg corn pumpkin
2596,American,basil chicken lemon_juice coconut
2597,Mexican,tomato pork marjoram beef onion cayenne black_pepper thyme cumin garlic parsley
2598,American,cocoa butter egg ginger cream
2599,French,olive_oil mustard vinegar shallot sage white_wine rosemary
2600,Italian,olive_oil lemon_juice romano_cheese bean garlic basil macaroni
2601,Italian,butter coconut peach almond egg cream
2602,Mediterranean,tomato olive_oil garlic shallot shrimp
2603,Indian,tomato cilantro onion cayenne cumin ginger garlic vegetable_oil lentil rice turmeric
2604,American,olive_oil thyme beef black_pepper bacon parmesan_cheese scallion horseradish garlic porcini roasted_beef cream
2605,American,olive_oil oat black_pepper parmesan_cheese garlic
2606,American,butter garlic
2607,American,cocoa strawberry lemon wine
2608,American,butter ham potato scallion milk_fat brassica smoke milk kale
2609,American,olive_oil onion cayenne squash cumin fennel cinnamon root turmeric
2610,American,olive_oil lemon_juice lemon fish black_pepper white_wine oregano olive
2611,American,vinegar mustard cayenne black_pepper ginger wine
2612,Asian,cilantro clam sesame_oil chicken_broth cayenne ginger scallion garlic bell_pepper macaroni soy_sauce
2613,Italian,olive_oil wheat yeast black_pepper white_wine blue_cheese grape cheese
2614,Italian,tomato olive_oil onion cheese parmesan_cheese bay garlic oregano mozzarella_cheese macaroni chicken white_wine
2615,American,peach cream
2616,Central_SouthAmerican,orange_peel almond cocoa cinnamon orange egg milk cream
2617,Italian,tomato olive_oil grape_juice parmesan_cheese macaroni bell_pepper orange garlic watercress
2618,American,pear cocoa hazelnut egg milk cream
2619,American,coriander olive_oil cardamom cayenne lime_juice cumin scallion mango garlic cinnamon lamb mint turmeric
2620,American,orange_peel vinegar wheat vanilla orange_juice cider milk_fat cinnamon cream_cheese orange butter egg milk
2621,French,gelatin bitter_orange cocoa milk_fat brandy blackberry orange egg milk cream
2622,American,tomato olive_oil onion black_bean cayenne squash cumin garlic vegetable
2623,Cajun_Creole,cane_molasses vinegar mustard onion cayenne scallion crab vegetable_oil tamarind egg bread
2624,American,vegetable lime_juice cream avocado cayenne
2625,American,cane_molasses vinegar pepper onion mushroom starch chicken_broth potato milk thyme squash bell_pepper tamarind zucchini chicken mustard
2626,Asian,peanut_oil sesame_oil starch chicken_broth cayenne scallion garlic sesame_seed nut soy_sauce sherry chicken rice pea
2627,American,butter onion beef shiitake horseradish vegetable_oil beef_broth egg bread
2628,American,butter olive_oil black_pepper bacon scallop smoke mint
2629,Italian,tomato olive_oil grape_juice cheese shallot romano_cheese macaroni
2630,American,coconut almond raisin honey oat cranberry vegetable_oil
2631,American,butter cane_molasses wheat mint cocoa strawberry yogurt egg milk cream
2632,American,cane_molasses butter coconut lemon_juice wheat vanilla ginger milk mango pineapple egg banana cream
2633,American,olive_oil lovage mustard onion potato cider vinegar black_pepper ginger bay cinnamon
2634,American,olive_oil lemon_juice shallot lemon_peel broccoli bread
2635,Italian,tomato olive_oil onion garlic olive rosemary
2636,Italian,turkey olive_oil wheat cheese parsley mozzarella_cheese garlic bell_pepper basil pork_sausage
2637,Asian,cane_molasses cilantro onion cashew cayenne cumin ginger garlic cinnamon vegetable_oil rice turmeric
2638,American,butter cane_molasses lemon_juice wheat starch cider nutmeg cinnamon egg
2639,American,butter black_pepper wheat pecan blue_cheese
2640,Vietnamese,turkey green_bell_pepper shiitake black_pepper scallion vegetable_oil rice egg fish oyster
2641,African,olive_oil lemon black_pepper parsley scallion vegetable_oil tuna egg bread
2642,American,butter tomato wheat ham mushroom shallot black_pepper parsley white_wine swiss_cheese chicken egg cream
2643,American,lemon_juice cardamom corn milk_fat milk cream
2644,Chinese,cilantro sesame_oil peanut soy_sauce ginger scallion chicken
2645,French,vinegar mustard shallot sage chicken rosemary
2646,English_Scottish,butter cheese wheat cheddar_cheese egg cream
2647,American,vanilla peppermint cocoa mint milk cream
2648,Mediterranean,tomato onion feta_cheese fish yogurt lemon_peel
2649,Italian,butter olive_oil clam onion cayenne parsley white_wine garlic oregano macaroni
2650,Greek,olive_oil pepper dill feta_cheese chicken_broth macaroni cheese cream
2651,American,butter lemon_juice lemon apricot corn lime_juice milk milk_fat wheat egg blueberry lime
2652,American,butter olive_oil wheat kale beef bacon black_pepper onion sage squash cured_pork garlic parmesan_cheese
2653,Chinese,vinegar cilantro lemon_juice wheat sesame_oil soy_sauce almond black_pepper scallion lettuce sesame_seed vegetable_oil chicken pea egg cabbage
2654,Indian,coriander tomato cilantro cardamom black_pepper ginger bay garlic cinnamon
2655,MiddleEastern,tomato olive_oil lemon onion black_pepper parsley cucumber mint
2656,Spanish_Portuguese,tomato olive_oil lemon_juice mustard black_pepper saffron garlic vegetable_oil egg
2657,Central_SouthAmerican,tomato pepper green_bell_pepper beef onion cumin garlic
2658,American,butter lemon_juice wheat apple vanilla almond lard lemon egg milk cream
2659,American,butter cane_molasses coffee wheat vanilla almond cocoa egg cream
2660,Central_SouthAmerican,cheese onion corn scallion bean garlic lard
2661,American,olive_oil grape_juice onion thyme garlic olive chicken bread
2662,Jewish,onion beef apricot chicken_broth red_wine parsley bay yam carrot garlic bell_pepper vegetable_oil plum
2663,Spanish_Portuguese,olive_oil lemon_juice lemon cayenne shrimp garlic
2664,Mexican,cheese pepper radish cayenne cilantro scallion chicory mint milk
2665,American,olive_oil pork apple thyme red_wine cider garlic
2666,Spanish_Portuguese,olive_oil nut garlic
2667,American,cane_molasses butter lemon_juice wheat vinegar egg vanilla strawberry cream_cheese raspberry lemon_peel cream
2668,Mediterranean,coriander olive_oil vinegar red_wine cayenne cumin lamb garlic
2669,American,watermelon lemon_juice mint
2670,American,coriander olive_oil lemon_juice wheat thyme onion dill black_pepper fennel carrot garlic chive vegetable_oil tuna egg pea
2671,Indian,black_pepper shrimp mint bell_pepper turmeric
2672,American,lemon_juice peach vanilla almond egg cream
2673,American,butter cane_molasses wheat yeast ginger honey cinnamon cream egg milk pumpkin
2674,French,butter cane_molasses wheat egg walnut honey orange_peel lard anise_seed cream
2675,Italian,tomato olive_oil onion romano_cheese fennel garlic bell_pepper basil macaroni pork_sausage cream
2676,American,butter orange_peel wheat cherry pineapple lard ginger fruit nutmeg cinnamon cranberry egg
2677,Italian,cane_molasses butter wheat cardamom corn anise ginger milk honey vanilla nutmeg cinnamon pecan pumpkin egg nut cream
2678,American,butter lemon_juice lemon shallot cayenne black_pepper mace crab sherry bread
2679,Japanese,cane_molasses banana beef sake chicken_broth lime_juice ginger shrimp honey garlic bell_pepper chicken lime lime_peel_oil soy_sauce peanut_butter
2680,Asian,mushroom bacon shrimp scallop vegetable_oil rice root oyster
2681,French,tomato thyme onion potato bay bean carrot garlic kidney_bean macaroni leek zucchini
2682,Italian,cheese pepper parsley bell_pepper mozzarella_cheese bread
2683,American,olive_oil meat cheese black_pepper cured_pork milk_fat fennel garlic bread wine egg milk cream
2684,Italian,butter wheat citrus vanilla almond honey brandy pineapple egg
2685,French,butter cane_molasses wheat apple egg
2686,Thai,coriander coconut galanga onion soy_sauce black_pepper cilantro ginger cumin garlic bell_pepper sweet_potato vegetable_oil lemongrass pea thai_pepper lime
2687,American,dill lemon_juice lemon onion olive_oil salmon chicken_broth black_pepper macaroni cream
2688,American,vinegar cilantro corn orange_juice scallion carrot bell_pepper vegetable_oil cabbage rice
2689,Southern_SoulFood,dill wheat corn buttermilk garlic bell_pepper vegetable_oil egg
2690,Mexican,cilantro onion pear lime_juice mint cayenne
2691,African,peanut_oil cane_molasses wheat milk egg banana
2692,Asian,vinegar cilantro onion shallot radish soy_sauce cayenne carrot cucumber fish vegetable_oil garlic chicken egg star_anise oyster bread
2693,American,lemon_juice onion lettuce bacon tabasco_pepper black_pepper buttermilk blue_cheese vegetable_oil egg
2694,Asian,vegetable_oil fish mint garlic lime_juice
2695,American,butter beef lime_juice black_pepper scallion vegetable_oil lime
2696,American,lemon_juice black_pepper parmesan_cheese vegetable_oil egg cream
2697,American,quince
2698,American,butter ham onion sage corn black_pepper parsley celery vegetable_oil egg nut chicken_broth bread
2699,French,olive_oil pepper mustard vinegar feta_cheese red_wine lettuce garlic bell_pepper vegetable_oil cabbage
2700,Mediterranean,olive_oil pepper lemon parsley garlic oregano yogurt chicken
2701,Asian,olive_oil onion beef starch soy_sauce black_pepper garlic bell_pepper rice
2702,American,butter cane_molasses wheat bourbon_whiskey corn yeast milk pecan orange_peel egg vanilla cream
2703,Italian,olive_oil clam onion shiitake white_wine garlic bell_pepper pork_sausage bread
2704,Italian,tomato olive_oil lemon_juice shrimp macaroni basil garlic lemon_peel
2705,Italian,butter macaroni lemon_peel garlic parsley
2706,American,vinegar tarragon beef olive_oil cardamom soy_sauce red_wine black_pepper parsley white_wine honey garlic chive bay champagne_wine star_anise chervil
2707,American,olive_oil grape_juice garlic beef onion
2708,Thai,butter olive_oil lemon_juice lemon starch pear chicken_broth yeast cayenne parsley oregano radish wheat rice chervil lemongrass
2709,Mexican,tomato vinegar olive_oil corn red_wine scallion bean garlic bell_pepper oregano rice
2710,Spanish_Portuguese,olive_oil onion vinegar fish red_wine fennel
2711,Spanish_Portuguese,red_wine lemon_juice grape
2712,American,olive vegetable_oil pepper potato
2713,Asian,kiwi olive_oil cilantro cayenne coconut cumin garlic
2714,Italian,basil olive_oil black_pepper bell_pepper onion
2715,Jewish,wheat vanilla orange_juice walnut cocoa orange egg cream
2716,Mexican,olive_oil onion vinegar black_pepper orange_juice lime_juice cumin garlic oregano chicken
2717,French,tomato olive_oil fish white_wine basil garlic olive chicken
2718,Mexican,milk_fat coffee egg coconut milk
2719,Chinese,vinegar pork wheat sesame_oil starch black_pepper soy_sauce cayenne ginger scallion garlic wine vegetable_oil cabbage rice egg oyster shrimp
2720,Indian,tomato vinegar coriander onion potato chicken_broth cayenne cumin ginger garlic bell_pepper vegetable_oil chicken turmeric
2721,Asian,honey olive_oil squash ginger
2722,Mexican,butter coffee wheat yeast vanilla milk cocoa pecan cinnamon egg corn cream
2723,Irish,corn seed apple blackberry
2724,American,tomato olive_oil corn parmesan_cheese mozzarella_cheese olive bread basil
2725,American,butter cane_molasses onion vinegar cayenne white_wine garlic tamarind shrimp rosemary bread
2726,American,olive_oil lemon carrot parsley parsnip seed garlic vegetable_oil
2727,American,coriander olive_oil cilantro wheat onion black_pepper chicken_broth red_wine bacon cumin roasted_meat garlic
2728,American,coriander olive_oil cilantro beef potato black_pepper cayenne cumin ginger carrot garlic
2729,American,butter wheat corn bacon maple_syrup buttermilk egg
2730,Jewish,lemon_juice lemon black_pepper walnut vegetable_oil egg leek bread
2731,Mediterranean,olive_oil grape_juice mustard onion potato romano_cheese chicory bell_pepper basil zucchini
2732,Asian,roasted_peanut onion shallot soy_sauce cayenne garlic soybean vegetable_oil lemongrass thai_pepper turmeric
2733,English_Scottish,butter wheat vanilla milk_fat hazelnut egg milk cream
2734,American,butter marjoram thyme onion apricot corn sage parsley scallion celery black_pepper seed egg chicken_broth bread
2735,American,butter potato milk_fat cream_cheese chive milk cream
2736,Southern_SoulFood,nectarine vanilla pecan egg milk cream
2737,American,olive_oil fennel black_pepper chicken_broth
2738,American,butter wheat vanilla nutmeg cinnamon egg blueberry cream
2739,American,butter cane_molasses wheat peanut vanilla cocoa milk_fat peanut_butter egg milk cream
2740,American,cane_molasses sweet_potato soy_sauce orange_juice ginger garlic barley soybean rice sesame_seed
2741,American,vegetable_oil cheddar_cheese cayenne cumin bread
2742,Asian,cauliflower cilantro lemon_juice mushroom beef starch onion bell_pepper vegetable beef_broth lemon_peel broccoli
2743,American,butter potato parsley horseradish turnip cream
2744,American,cane_molasses olive_oil pork chicken_broth cayenne currant
2745,Indian,apricot vanilla plum tea
2746,American,butter wheat onion milk_fat nutmeg milk cream
2747,American,butter radish garlic chive
2748,Thai,tomato coconut cayenne shiitake garlic ginger scallion macaroni basil vegetable_oil
2749,Asian,butter olive_oil cane_molasses wheat mustard orange_juice ginger scallion orange_peel chicken
2750,Asian,beef sake soy_sauce ginger scallion garlic oyster wine
2751,American,dill wheat shallot chicken_broth black_pepper white_wine vegetable_oil chicken
2752,Central_SouthAmerican,chive vegetable_oil chayote cream
2753,Thai,fish lime_juice lettuce carrot cucumber garlic
2754,Italian,vanilla corn gelatin hazelnut milk cream
2755,Italian,butter lemon cinnamon orange wheat egg milk
2756,EasternEuropean_Russian,coriander olive_oil pork onion fenugreek potato cilantro seed garlic savory
2757,American,orange_peel olive_oil chicken_broth lamb garlic artichoke rosemary
2758,American,currant ham blue_cheese
2759,American,olive_oil pepper grape_juice apple thyme sage squash garlic chicken rosemary pork_sausage
2760,Spanish_Portuguese,beef onion black_pepper thyme parsley celery carrot
2761,American,cane_molasses honey coffee starch vanilla walnut cocoa brandy raspberry milk cream
2762,American,olive_oil pepper tarragon chicken_broth parsley garlic bell_pepper chicken
2763,French,tomato olive_oil onion feta_cheese garlic bell_pepper egg
2764,Italian,cherry vanilla orange_juice almond
2765,Italian,olive_oil lemon ham parsley shrimp garlic bell_pepper white_wine
2766,American,butter maple_syrup vanilla cream_cheese
2767,American,vinegar sesame_oil salmon ginger scallion cucumber sesame_seed soybean wine vegetable_oil rice barley
2768,American,butter black_pepper potato
2769,American,cane_molasses butter wheat pear walnut cinnamon cranberry milk cream
2770,Italian,shallot butter asparagus pea basil
2771,American,cilantro lemon_juice cayenne fish avocado pepper mango crab pineapple melon
2772,Asian,vegetable_oil starch wheat egg sesame_seed
2773,American,lemon_juice apple ginger
2774,Italian,milk_fat egg milk
2775,Italian,cocoa coffee anise cream
2776,American,vinegar lovage mustard dill black_pepper ginger bay seed cinnamon yogurt vegetable_oil cabbage carrot egg wine
2777,Scandinavian,cardamom vinegar vegetable_oil mustard dill
2778,Jewish,lemon_juice wheat egg almond honey hazelnut olive lemon_peel
2779,Italian,olive_oil grape_juice black_pepper squash
2780,Indian,tomato black_mustard_seed_oil cilantro onion cumin seed cucumber yogurt vegetable_oil
2781,Mexican,butter cheese pork wheat chicken_broth cayenne pepper scallion cilantro garlic bell_pepper cream lime
2782,American,olive_oil thyme potato black_pepper lavender bay savory fennel basil
2783,Jewish,coriander vinegar cilantro wheat apple onion black_pepper cayenne cumin scallion celery garlic tomato vegetable_oil beet cucumber egg
2784,Italian,grape_juice peach white_wine honey strawberry cream egg wine
2785,Mediterranean,tomato olive_oil pepper green_bell_pepper yogurt cayenne black_pepper parsley parmesan_cheese chive lemon_juice garlic bell_pepper vegetable_oil basil cucumber bread mint seed sesame_seed whole_grain_wheat_flour
2786,American,butter gruyere_cheese wheat onion beef black_pepper cayenne thyme parmesan_cheese celery milk_fat carrot garlic macaroni chicken milk bread
2787,Mediterranean,olive_oil lemon potato fish scallion milk_fat orange egg milk bread
2788,American,vinegar ham olive_oil anise_seed honey melon sherry mint
2789,Southwestern,tomato olive_oil mustard onion vinegar avocado cayenne white_wine chicory orange endive
2790,Italian,butter cheese wheat buttermilk egg milk_fat vegetable_oil lemon_peel milk cream
2791,Italian,wheat rosemary parmesan_cheese yeast
2792,Spanish_Portuguese,tomato olive_oil rice vinegar shrimp cured_pork garlic bell_pepper oregano sherry scallion
2793,American,butter
2794,Southern_SoulFood,butter cane_molasses orange_juice black_pepper sweet_potato orange
2795,American,olive_oil lemon_juice lemon endive mint salmon scallion celery vegetable_oil whole_grain_wheat_flour egg bread
2796,American,cane_molasses butter lemon_juice orange_peel yam nutmeg cinnamon sweet_potato
2797,Asian,cane_molasses vinegar soy_sauce cayenne ginger scallion garlic vegetable_oil cream
2798,American,butter wheat cayenne corn lime_juice lime
2799,American,butter lemon_juice wheat honey cream_cheese lemon egg milk
2800,Japanese,coriander wheat starch lime_juice soy_sauce black_pepper ginger shrimp honey carrot bell_pepper cream vegetable_oil scallion egg seaweed
2801,American,tomato olive_oil onion feta_cheese olive bread mint whole_grain_wheat_flour
2802,Asian,tomato vinegar olive_oil black_pepper cumin ginger garlic bell_pepper yogurt chicken cream
2803,Japanese,mandarin_peel olive_oil pepper sesame_seed potato
2804,French,butter wheat orange_juice ginger honey milk_fat pineapple egg milk
2805,Mexican,cane_molasses milk cream
2806,Italian,olive_oil meat onion nut sage white_wine carrot veal garlic bay chicken_broth
2807,American,pear cinnamon
2808,Spanish_Portuguese,butter onion bacon black_pepper milk_fat milk
2809,Moroccan,tomato butter cilantro lemon beef onion black_pepper parsley celery chickpea macaroni cinnamon vegetable lentil turmeric
2810,American,butter cheese lemon_juice wheat vanilla oatmeal buttermilk pecan cream_cheese egg milk cream
2811,American,cane_molasses tomato thyme beef soy_sauce orange_juice cayenne onion scallion lettuce seed garlic vegetable_oil egg bread
2812,Mediterranean,butter onion chicken_broth almond black_pepper saffron rice
2813,Cajun_Creole,tomato scallion pepper okra onion black_pepper corn cayenne shrimp garlic rice chicken_broth pork_sausage wine
2814,Southern_SoulFood,cane_molasses olive_oil pepper lemon_juice beef onion vinegar tabasco_pepper black_pepper vegetable_oil wine garlic blue_cheese pecan bread watercress egg pork_sausage okra
2815,Spanish_Portuguese,vanilla egg milk cream_cheese
2816,American,coffee wheat milk_fat vanilla milk cocoa buttermilk bean egg nut cream
2817,Jewish,butter cane_molasses egg_noodle corn_flake raisin milk_fat egg milk cream
2818,American,cayenne beef onion bread
2819,American,olive_oil pepper lemon_juice mustard
2820,Italian,butter olive_oil wheat beef thyme cheese black_pepper parmesan_cheese nutmeg oregano lard garlic egg
2821,Mexican,pepper lime_juice cayenne garlic chive vegetable_oil egg
2822,Mediterranean,coriander olive_oil potato beet vinegar
2823,Southern_SoulFood,butter cheddar_cheese ham brussels_sprout lima_bean sage carrot turnip white_bread
2824,American,butter olive_oil grape_juice wheat endive bell_pepper goat_cheese mustard
2825,Southwestern,butter cheese pepper wheat corn black_pepper goat_cheese mozzarella_cheese egg cream
2826,Italian,butter olive_oil lemon_juice wheat fish parsley garlic mozzarella_cheese egg bread
2827,Chinese,scallion pork ham soy_sauce shrimp lard chicken rice egg pea
2828,Asian,pork sesame_oil starch soy_sauce black_pepper cilantro ginger scallion cinnamon star_anise wine
2829,Asian,lemon_juice beef soy_sauce wasabi horseradish vegetable_oil tuna egg
2830,Jewish,orange_peel butter wheat orange_juice ginger cinnamon hazelnut egg
2831,American,vinegar pepper wheat sesame_oil cilantro scallion lettuce garlic soybean chicken
2832,American,tomato olive_oil onion vinegar squash white_wine vegetable garlic bell_pepper oregano basil macaroni
2833,Mexican,tomato coriander avocado onion peanut corn cayenne black_pepper garlic oregano lime chicken_broth lime_juice
